np,conf,phase,n_traj,n_frames,mean_rg_A,std_rg_A,mean_ree_A,std_ree_A,dRg_vs_np1_A,dRee_vs_np1_A
1,1,equil,4,1844,76.752468,5.835387,25.070051,35.405023,0.0,0.0
2,1,equil,4,1844,76.752468,5.835387,25.070051,35.405023,0.0,0.0
4,1,equil,4,1844,76.752468,5.835387,25.070051,35.405023,0.0,0.0
8,1,equil,4,1844,76.752468,5.835387,25.070051,35.405023,0.0,0.0
1,1,prod,10,1010,76.114671,0.609458,24.956652,1.475448,0.0,0.0
2,1,prod,10,1010,76.114671,0.609458,24.956652,1.475448,0.0,0.0
4,1,prod,10,1010,76.114671,0.609458,24.956652,1.475448,0.0,0.0
8,1,prod,10,1010,76.114671,0.609458,24.956652,1.475448,0.0,0.0
1,4,equil,4,1524,72.106503,7.379562,35.608062,40.536412,0.0,0.0
2,4,equil,4,1524,72.106503,7.379562,35.608062,40.536412,0.0,0.0
4,4,equil,4,1524,72.106503,7.379562,35.608062,40.536412,0.0,0.0
8,4,equil,4,1524,72.106503,7.379562,35.608062,40.536412,0.0,0.0
1,4,prod,10,1010,73.127267,1.013154,32.023231,2.311392,0.0,0.0
2,4,prod,10,1010,73.127267,1.013154,32.023231,2.311392,0.0,0.0
4,4,prod,10,1010,73.127267,1.013154,32.023231,2.311392,0.0,0.0
8,4,prod,10,1010,73.127267,1.013154,32.023231,2.311392,0.0,0.0
1,5,equil,4,1284,52.674102,7.830559,85.305795,32.266049,0.0,0.0
2,5,equil,4,1284,52.674102,7.830559,85.305795,32.266049,0.0,0.0
4,5,equil,4,1284,52.674102,7.830559,85.305795,32.266049,0.0,0.0
8,5,equil,4,1284,52.674102,7.830559,85.305795,32.266049,0.0,0.0
1,5,prod,10,1010,51.629846,0.365802,82.373082,4.70705,0.0,0.0
2,5,prod,10,1010,51.629846,0.365802,82.373082,4.70705,0.0,0.0
4,5,prod,10,1010,51.629846,0.365802,82.373082,4.70705,0.0,0.0
8,5,prod,10,1010,51.629846,0.365802,82.373082,4.70705,0.0,0.0
